volar
tocar
sentar
rezar
probar
pensar
jugar
encontrar
despertar
contar
colgar
acostar
trabajar
saltar
quemar
pasar
parar
pagar
nadar
mirar
matar
luchar
llorar
llevar
llamar
limpiar
levantar
lavar
jalar
golpear
girar
ganar
firmar
explotar
escuchar
ense?ar
empujar
doblar
disparar
dibujar
cultivar
cortar
comprar
cocinar
cerrar
cavar
casar
cantar
